Module                  Size  Used by
overlay               249856  0
uinput                 32768  0
rfcomm                110592  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
nf_conntrack_netbios_ns    12288  1
nf_conntrack_broadcast    12288  1 nf_conntrack_netbios_ns
nft_fib_inet           12288  1
nft_fib_ipv4           12288  1 nft_fib_inet
nft_fib_ipv6           12288  1 nft_fib_inet
nft_fib                12288  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
nft_reject_inet        12288  10
nf_reject_ipv4         12288  1 nft_reject_inet
nf_reject_ipv6         20480  1 nft_reject_inet
nft_reject             12288  1 nft_reject_inet
nft_ct                 28672  9
nft_chain_nat          12288  3
nf_nat                 65536  1 nft_chain_nat
nf_conntrack          212992  4 nf_nat,nft_ct,nf_conntrack_netbios_ns,nf_conntrack_broadcast
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
sunrpc                921600  1
nf_tables             430080  301 nft_ct,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_chain_nat,nft_reject,nft_fib,nft_fib_inet
qrtr                   57344  2
bnep                   36864  2
binfmt_misc            28672  1
snd_soc_dmic           12288  1
snd_soc_acp6x_mach     40960  5
snd_acp6x_pdm_dma      16384  1
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        73728  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
vfat                   24576  1
fat                   126976  1 vfat
snd_sof               512000  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             36864  0
amd_atl                77824  1
intel_rapl_msr         20480  0
snd_soc_acpi_amd_match    12288  2 snd_sof_amd_acp63,snd_pci_ps
intel_rapl_common      61440  1 intel_rapl_msr
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
soundwire_amd          53248  2 snd_sof_amd_acp,snd_pci_ps
mt7921e                28672  0
soundwire_generic_allocation    24576  1 soundwire_amd
soundwire_bus        1212416  2 soundwire_generic_allocation,soundwire_amd
mt7921_common          98304  1 mt7921e
btusb                  81920  0
snd_soc_sdca           73728  1 soundwire_bus
snd_hda_codec_conexant    36864  1
snd_hda_codec_generic   139264  1 snd_hda_codec_conexant
mt792x_lib             77824  2 mt7921e,mt7921_common
edac_mce_amd           40960  0
btrtl                  36864  1 btusb
uvcvideo              200704  2
mt76_connac_lib       110592  3 mt792x_lib,mt7921e,mt7921_common
snd_hda_codec_hdmi    102400  1
snd_soc_core          495616  6 snd_soc_acp6x_mach,snd_sof,snd_soc_sdca,snd_acp6x_pdm_dma,soundwire_amd,snd_soc_dmic
btintel                73728  1 btusb
uvc                    12288  1 uvcvideo
kvm_amd               258048  0
btbcm                  24576  1 btusb
mt76                  167936  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
videobuf2_vmalloc      20480  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_hda_intel          73728  12
snd_compress           28672  1 snd_soc_core
btmtk                  32768  1 btusb
videobuf2_v4l2         40960  1 uvcvideo
ac97_bus               12288  1 snd_soc_core
snd_ctl_led            28672  0
bluetooth            1097728  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_intel_dspcfg       45056  2 snd_hda_intel,snd_sof
spd5118                16384  0
videobuf2_common      102400  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_pcm_dmaengine      20480  1 snd_soc_core
mac80211             1925120  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
kvm                  1495040  1 kvm_amd
videodev              421888  2 videobuf2_v4l2,uvcvideo
uas                    40960  0
snd_rpl_pci_acp6x      16384  0
snd_hda_codec         233472  4 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel
mc                     94208  6 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_acp_pci            16384  0
usb_storage            94208  1 uas
snd_amd_acpi_mach      12288  1 snd_acp_pci
snd_hda_core          159744  5 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec
snd_acp_legacy_common    28672  1 snd_acp_pci
irqbypass              16384  1 kvm
libarc4                12288  1 mac80211
snd_hwdep              24576  1 snd_hda_codec
rapl                   20480  0
snd_seq               135168  7 snd_seq_dummy
think_lmi              45056  0
snd_pci_acp6x          20480  0
snd_seq_device         16384  1 snd_seq
pcspkr                 12288  0
firmware_attributes_class    12288  1 think_lmi
thinkpad_acpi         208896  0
cfg80211             1511424  4 mt76,mac80211,mt7921_common,mt76_connac_lib
wmi_bmof               12288  0
snd_pci_acp5x          20480  0
snd_pcm               208896  15 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_acp_legacy_common,snd_hda_intel,snd_hda_codec,snd_sof,snd_acp6x_pdm_dma,snd_compress,snd_soc_core,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
r8169                 151552  0
sparse_keymap          12288  1 thinkpad_acpi
snd_rn_pci_acp3x       24576  0
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
