Module                  Size  Used by
dm_crypt               65536  1
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               126976  7 snd_seq_dummy
snd_seq_device         12288  1 snd_seq
fuse                  249856  2
qrtr                   49152  2
binfmt_misc            24576  1
amdgpu              19304448  52
wl                   6455296  0
amd_atl                69632  1
intel_rapl_msr         16384  0
intel_rapl_common      49152  1 intel_rapl_msr
snd_soc_dmic           12288  1
snd_acp6x_pdm_dma      12288  1
snd_soc_acp6x_mach     45056  4
snd_sof_amd_acp70      12288  0
snd_sof_amd_acp63      12288  0
snd_sof_amd_vangogh    12288  0
snd_sof_amd_rembrandt    12288  0
snd_sof_amd_renoir     12288  0
mt7921e                24576  0
snd_sof_amd_acp        61440  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            20480  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
mt7921_common          90112  1 mt7921e
snd_sof               417792  2 snd_sof_amd_acp,snd_sof_pci
mt792x_lib             69632  2 mt7921e,mt7921_common
edac_mce_amd           32768  0
mt76_connac_lib       102400  3 mt792x_lib,mt7921e,mt7921_common
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             28672  0
mt76                  159744  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
snd_soc_acpi_amd_match    12288  3 snd_sof_amd_acp70,snd_sof_amd_acp63,snd_pci_ps
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
kvm_amd               217088  0
snd_ctl_led            24576  0
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_codec_conexant    28672  1
snd_hda_codec_atihdmi    16384  1
soundwire_generic_allocation    20480  1 soundwire_amd
soundwire_bus        1179648  2 soundwire_generic_allocation,soundwire_amd
snd_hda_codec_generic   122880  1 snd_hda_codec_conexant
snd_hda_codec_hdmi     57344  1 snd_hda_codec_atihdmi
mac80211             1654784  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
snd_soc_sdca          122880  1 soundwire_bus
snd_hda_intel          61440  11
kvm                  1310720  1 kvm_amd
btusb                  77824  0
snd_soc_core          421888  6 snd_soc_acp6x_mach,snd_sof,snd_soc_sdca,snd_acp6x_pdm_dma,soundwire_amd,snd_soc_dmic
snd_hda_codec         200704  5 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_atihdmi
amdxcp                 12288  1 amdgpu
drm_panel_backlight_quirks    12288  1 amdgpu
uvcvideo              159744  0
btmtk                  32768  1 btusb
spd5118                12288  0
drm_ttm_helper         16384  2 amdgpu
ttm                   122880  2 amdgpu,drm_ttm_helper
uvc                    12288  1 uvcvideo
snd_compress           28672  1 snd_soc_core
videobuf2_vmalloc      16384  1 uvcvideo
i2c_algo_bit           16384  1 amdgpu
ac97_bus               12288  1 snd_soc_core
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_pcm_dmaengine      20480  1 snd_soc_core
drm_suballoc_helper    16384  1 amdgpu
btrtl                  36864  1 btusb
videobuf2_v4l2         36864  1 uvcvideo
snd_hda_core          135168  6 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_atihdmi
gpu_sched              61440  1 amdgpu
btbcm                  20480  1 btusb
snd_rpl_pci_acp6x      16384  0
