Package                                    Size MiB  Build Seconds  Build Time
sys-kernel/linux-firmware                      1757             52  52 seconds.
sys-kernel/gentoo-sources                      1465             32  32 seconds.
sys-kernel/gentoo-sources                      1465             32  32 seconds.
x11-drivers/nvidia-drivers                      930             56  56 seconds.
net-im/signal-desktop-bin                       467             64  1 minute and 4 seconds.
www-client/firefox-bin                          298             44  44 seconds.
sys-devel/gcc                                   281           1393  23 minutes and 13 seconds.
app-editors/emacs                               173             43  43 seconds.
dev-libs/boost                                  153            140  2 minutes and 20 seconds.
net-analyzer/wireshark                          114            102  1 minute and 42 seconds.
app-containers/containerd                        93             17  17 seconds.
app-containers/docker                            79            265  4 minutes and 25 seconds.
dev-python/uv                                    67            143  2 minutes and 23 seconds.
app-containers/docker-buildx                     65             18  18 seconds.
dev-qt/qtbase                                    61            194  3 minutes and 14 seconds.
dev-build/cmake                                  54              0  N/A
app-text/mupdf                                   52            245  4 minutes and 5 seconds.
x11-libs/gtk+                                    52             31  31 seconds.
dev-lang/python                                  51             34  34 seconds.
dev-lang/python                                  51             34  34 seconds.
dev-lang/perl                                    50              0  N/A
sys-libs/glibc                                   50              0  N/A
net-vpn/tailscale                                49              0  -
dev-lisp/sbcl                                    48              0  -
app-text/docbook-xsl-ns-stylesheets              44              0  -
dev-libs/icu                                     43              0  -
app-containers/docker-cli                        42              0  -
sys-firmware/sof-firmware                        42              0  -
media-libs/mesa                                  39              0  -
dev-util/vulkan-headers                          36              0  -
dev-libs/glib                                    29              0  -
dev-python/mypy                                  29              0  -
dev-vcs/git                                      28              0  -
sys-devel/binutils                               28              0  -
media-video/ffmpeg                               24              0  -
dev-libs/protobuf                                23              0  -
dev-python/cython                                23              0  -
sys-apps/portage                                 23              0  -
sys-devel/mold                                   23              0  -
sys-apps/util-linux                              21              0  -
app-text/docbook-xsl-stylesheets                 20              0  -
dev-debug/systemtap                              20              0  -
dev-libs/openssl                                 19              0  -
dev-build/meson                                  18              0  -
gnome-base/librsvg                               18              0  -
dev-lang/ruby                                    17              0  -
sys-apps/coreutils                               17              0  -
sys-apps/systemd-utils                           17              0  -
media-fonts/noto-emoji                           16              0  -
media-fonts/wqy-zenhei                           16              0  -
dev-python/pygments                              15              0  -
dev-qt/qttranslations                            15              0  -
dev-lang/vala                                    13              0  -
dev-python/docutils                              13              0  -
net-print/cups                                   13              0  -
x11-themes/adwaita-icon-theme                    13              0  -
app-crypt/gnupg                                  12              0  -
dev-util/ragel                                   12              0  -
sys-apps/file                                    12              0  -
app-containers/runc                              11              0  -
media-video/pipewire                             11              0  -
sys-apps/groff                                   11              0  -
sys-devel/gettext                                11              0  -
dev-lang/tcl                                     10              0  -
dev-libs/nss                                     10              0  -
dev-perl/Date-Manip                              10              0  -
dev-python/setuptools                            10              0  -
sys-apps/hwdata                                  10              0  -
sys-apps/texinfo                                 10              0  -
x11-misc/xkeyboard-config                        10              0  -
dev-util/spirv-tools                              9              0  -
media-fonts/font-misc-misc                        9              0  -
app-shells/bash                                   8              0  -
app-shells/zsh                                    8              0  -
dev-cpp/eigen                                     8              0  -
dev-qt/qtmultimedia                               8              0  -
net-misc/openssh                                  8              0  -
sys-apps/lshw                                     8              0  -
app-misc/mc                                       7              0  -
sys-apps/nvme-cli                                 7              0  -
sys-kernel/linux-headers                          7              0  -
sys-libs/binutils-libs                            7              0  -
sys-libs/ncurses                                  7              0  -
app-admin/sudo                                    6              0  -
dev-cpp/abseil-cpp                                6              0  -
dev-lang/tk                                       6              0  -
dev-python/lxml                                   6              0  -
dev-qt/qtshadertools                              6              0  -
dev-qt/qttools                                    6              0  -
media-video/mpv                                   6              0  -
net-dns/bind                                      6              0  -
net-misc/freerdp                                  6              0  -
sys-fs/lvm2                                       6              0  -
x11-base/xorg-server                              6              0  -
x11-terms/alacritty                               6              0  -
app-crypt/p11-kit                                 5              0  -
dev-libs/elfutils                                 5              0  -
dev-python/ensurepip-pip                          5              0  -
dev-python/pillow                                 5              0  -
dev-ruby/rbs                                      5              0  -
media-libs/harfbuzz                               5              0  -
media-libs/tiff                                   5              0  -
sys-apps/ripgrep                                  5              0  -
sys-apps/shadow                                   5              0  -
sys-fs/e2fsprogs                                  5              0  -
x11-misc/shared-mime-info                         5              0  -
app-accessibility/at-spi2-core                    4              0  -
dev-db/sqlite                                     4              0  -
dev-libs/gobject-introspection                    4              0  -
dev-util/colm                                     4              0  -
dev-util/glslang                                  4              0  -
media-fonts/liberation-fonts                      4              0  -
media-libs/libpulse                               4              0  -
net-libs/gnutls                                   4              0  -
net-misc/dhcp                                     4              0  -
sys-apps/gawk                                     4              0  -
sys-apps/hwloc                                    4              0  -
sys-apps/iproute2                                 4              0  -
app-arch/tar                                      3              0  -
app-portage/eix                                   3              0  -
app-text/opensp                                   3              0  -
app-text/po4a                                     3              0  -
dev-lang/nasm                                     3              0  -
dev-libs/gmp                                      3              0  -
dev-libs/libgit2                                  3              0  -
dev-libs/libpcre2                                 3              0  -
dev-ruby/prism                                    3              0  -
dev-util/gtk-doc                                  3              0  -
dev-util/re2c                                     3              0  -
dev-util/spirv-headers                            3              0  -
media-libs/libepoxy                               3              0  -
media-libs/libglvnd                               3              0  -
net-misc/wget                                     3              0  -
sys-apps/kbd                                      3              0  -
sys-apps/man-pages                                3              0  -
sys-fs/cryptsetup                                 3              0  -
sys-libs/pam                                      3              0  -
sys-process/procps                                3              0  -
