Module                  Size  Used by
xt_mark                12288  5
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               106496  7 snd_seq_dummy
snd_seq_device         12288  1 snd_seq
xt_conntrack           12288  0
xt_MASQUERADE          16384  1
xt_tcpudp              16384  2
iptable_mangle         12288  1
bridge                327680  0
stp                    12288  1 bridge
llc                    12288  2 bridge,stp
intel_rapl_msr         16384  0
amd_atl                53248  1
intel_rapl_common      45056  1 intel_rapl_msr
binfmt_misc            28672  1
ip6table_filter        12288  1
ip6_tables             32768  1 ip6table_filter
uvcvideo              159744  0
iptable_nat            12288  1
nf_nat                 77824  2 iptable_nat,xt_MASQUERADE
videobuf2_vmalloc      16384  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
uvc                    12288  1 uvcvideo
videobuf2_v4l2         36864  1 uvcvideo
nf_conntrack          151552  3 xt_conntrack,nf_nat,xt_MASQUERADE
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
iptable_filter         12288  1
videodev              344064  2 videobuf2_v4l2,uvcvideo
btusb                  65536  0
btrtl                  32768  1 btusb
ip_tables              32768  3 iptable_filter,iptable_nat,iptable_mangle
btintel                61440  1 btusb
edac_mce_amd           40960  0
mc                     77824  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
btbcm                  20480  1 btusb
x_tables               57344  10 ip6table_filter,xt_conntrack,iptable_filter,xt_tcpudp,ip6_tables,ip_tables,iptable_nat,xt_MASQUERADE,iptable_mangle,xt_mark
algif_skcipher         12288  0
snd_hda_codec_conexant    32768  1
mt7921e                16384  0
snd_hda_codec_generic   102400  1 snd_hda_codec_conexant
snd_hda_codec_hdmi     86016  1
snd_pci_ps             24576  0
mt7921_common          73728  1 mt7921e
snd_amd_sdw_acpi       16384  1 snd_pci_ps
kvm_amd               208896  0
mt792x_lib             61440  2 mt7921e,mt7921_common
soundwire_amd          40960  1 snd_pci_ps
soundwire_generic_allocation    12288  1 soundwire_amd
mt76_connac_lib        81920  3 mt792x_lib,mt7921e,mt7921_common
amdgpu              12992512  9
think_lmi              36864  0
soundwire_bus         126976  2 soundwire_generic_allocation,soundwire_amd
mt76                  114688  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
snd_hda_intel          61440  2
spd5118                12288  0
wmi_bmof               12288  0
firmware_attributes_class    12288  1 think_lmi
kvm                  1159168  1 kvm_amd
snd_intel_dspcfg       20480  1 snd_hda_intel
i2c_algo_bit           16384  1 amdgpu
mac80211             1376256  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
snd_soc_core          331776  1 soundwire_amd
snd_hda_codec         176128  4 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel
drm_ttm_helper         16384  2 amdgpu
ttm                    90112  2 amdgpu,drm_ttm_helper
snd_compress           28672  1 snd_soc_core
drm_exec               12288  1 amdgpu
drm_suballoc_helper    12288  1 amdgpu
irqbypass              12288  1 kvm
