key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.7,True,28,0.0107,0.0268,0.0265,13994
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.7,True,139,0.2666,0.1327,0.0973,10375
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,0.7,True,24,0.0069,0.031,0.0307,14049
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,0.7,True,146,0.3115,0.1398,0.0962,9739
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,0.9,True,22,0.0057,0.0406,0.0404,14066
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,0.9,True,122,0.2837,0.1351,0.0967,10133
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,0.8,True,20,0.004,0.043,0.0428,14090
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,0.8,True,117,0.2897,0.1316,0.0934,10048
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,0.9,True,37,0.0226,0.0188,0.0184,13826
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,0.9,True,142,0.2705,0.1471,0.1073,10319
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,0.8,True,34,0.038,0.0238,0.0229,13609
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,0.8,True,136,0.2991,0.1549,0.1085,9915
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,0.9,True,22,0.0156,0.03,0.0295,13926
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,0.9,True,127,0.3024,0.1556,0.1085,9868
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,0.8,True,22,0.024,0.0394,0.0385,13806
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,0.8,True,124,0.3414,0.16,0.1054,9317
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,1.0,True,29,0.0159,0.0208,0.0205,13921
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,1.0,True,140,0.2659,0.1447,0.1063,10385
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,0.9,True,28,0.0215,0.0184,0.018,13842
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,0.9,True,134,0.3144,0.1593,0.1092,9699
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,1.0,True,17,0.009,0.0396,0.0393,14019
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,1.0,True,127,0.3052,0.1565,0.1088,9829
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,1.0,True,17,0.0144,0.0359,0.0354,13942
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,1.0,True,120,0.3294,0.1618,0.1085,9487
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,1.0,True,25,0.0112,0.0237,0.0234,13987
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,1.0,True,135,0.2658,0.1455,0.1069,10386
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,1.0,True,21,0.0117,0.0094,0.0093,13981
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,1.0,True,132,0.3155,0.1587,0.1086,9683
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,1.1,True,14,0.0074,0.0521,0.0517,14042
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,1.1,True,123,0.302,0.1546,0.1079,9874
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,1.0,True,12,0.0083,0.0396,0.0392,14029
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,1.0,True,116,0.3206,0.1568,0.1065,9611
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,1.1,True,22,0.0078,0.0226,0.0224,14036
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,1.1,True,129,0.2546,0.1435,0.1069,10545
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,1.1,True,19,0.0089,0.0098,0.0097,14020
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,1.1,True,136,0.3195,0.1579,0.1074,9627
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,1.1,True,12,0.005,0.0621,0.0618,14075
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,1.1,True,113,0.274,0.1443,0.1047,10270
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,1.1,True,12,0.006,0.0397,0.0394,14061
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,1.1,True,117,0.337,0.163,0.1081,9379
