key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.8,True,34,0.0076,0.035,0.0347,14039
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.8,True,169,0.22,0.1317,0.1027,11034
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,0.8,True,37,0.0097,0.0435,0.0431,14009
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,0.8,True,174,0.2913,0.1465,0.1038,10025
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,0.8,True,22,0.0047,0.0537,0.0535,14080
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,0.8,True,150,0.291,0.1504,0.1066,10030
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,0.8,True,17,0.0042,0.0713,0.071,14087
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,0.8,True,147,0.2888,0.1528,0.1087,10060
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,0.9,True,43,0.0215,0.0542,0.0531,13842
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,0.9,True,176,0.2481,0.1495,0.1124,10636
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,0.8,True,45,0.037,0.0442,0.0426,13623
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,0.8,True,178,0.3089,0.1672,0.1156,9776
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,0.9,True,20,0.0148,0.0682,0.0672,13937
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,0.9,True,143,0.2657,0.1546,0.1135,10388
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,0.8,True,27,0.0258,0.0365,0.0356,13781
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,0.8,True,148,0.3114,0.1671,0.115,9741
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,1.0,True,33,0.0163,0.0415,0.0409,13916
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,1.0,True,183,0.271,0.1574,0.1147,10313
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,1.0,True,33,0.0233,0.047,0.0459,13816
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,1.0,True,172,0.3169,0.1708,0.1167,9663
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,1.1,True,17,0.0107,0.0706,0.0699,13994
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,1.1,True,148,0.2688,0.1568,0.1146,10343
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,1.1,True,18,0.0156,0.066,0.065,13925
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,1.1,True,146,0.3186,0.172,0.1172,9639
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,1.1,True,27,0.0115,0.0484,0.0478,13983
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,1.1,True,178,0.2784,0.1598,0.1153,10208
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,1.1,True,25,0.0138,0.0499,0.0492,13951
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,1.1,True,182,0.332,0.1765,0.1179,9449
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,1.2,True,16,0.0071,0.0698,0.0693,14045
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,1.2,True,152,0.2803,0.1608,0.1157,10181
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,1.2,True,15,0.0099,0.0729,0.0722,14006
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,1.2,True,144,0.3209,0.1695,0.1151,9607
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,1.1,True,27,0.0057,0.0515,0.0512,14065
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,1.1,True,181,0.2824,0.1617,0.116,10151
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,1.2,True,23,0.0092,0.0531,0.0526,14016
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,1.2,True,163,0.2961,0.1605,0.113,9958
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,1.2,True,16,0.0049,0.0698,0.0695,14076
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,1.2,True,137,0.2655,0.1527,0.1122,10390
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,1.2,True,14,0.0061,0.0777,0.0772,14060
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,1.2,True,141,0.3031,0.1648,0.1148,9858
