key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.8,True,37,0.0065,0.0195,0.0193,18150
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.8,True,184,0.2768,0.1468,0.1062,13212
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,0.9,True,33,0.0075,0.03,0.0297,18132
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,0.9,True,175,0.3244,0.158,0.1067,12342
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,1.5,True,27,0.0078,0.0267,0.0264,18126
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,1.5,True,147,0.2775,0.1458,0.1053,13199
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,1.3,True,29,0.007,0.045,0.0446,18141
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,1.3,True,141,0.3295,0.149,0.0999,12250
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,0.9,True,47,0.0194,0.0121,0.0118,17915
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,0.9,True,184,0.2919,0.1655,0.1172,12936
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,0.9,True,44,0.0292,0.0147,0.0143,17736
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,0.9,True,179,0.3415,0.179,0.1179,12030
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,1.3,True,32,0.0176,0.0268,0.0263,17948
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,1.3,True,158,0.3331,0.1793,0.1195,12184
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,1.3,True,30,0.0203,0.0241,0.0236,17898
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,1.3,True,151,0.3555,0.184,0.1186,11775
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,1.2,True,34,0.0126,0.0269,0.0265,18039
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,1.2,True,182,0.3048,0.1715,0.1193,12701
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,1.2,True,34,0.0175,0.0148,0.0146,17950
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,1.2,True,177,0.3525,0.1865,0.1208,11829
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,1.1,True,26,0.0095,0.0281,0.0278,18095
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,1.1,True,145,0.3353,0.1787,0.1188,12144
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,1.1,True,24,0.0125,0.0262,0.0259,18040
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,1.1,True,150,0.3596,0.1867,0.1196,11699
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,1.2,True,30,0.0086,0.0167,0.0166,18111
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,1.2,True,178,0.2875,0.1614,0.115,13017
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,1.2,True,29,0.0085,0.0117,0.0116,18114
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,1.2,True,175,0.3474,0.1762,0.115,11923
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,1.2,True,24,0.0056,0.0276,0.0274,18166
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,1.2,True,150,0.3262,0.1756,0.1183,12309
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,1.2,True,24,0.0082,0.0264,0.0262,18120
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,1.2,True,153,0.3671,0.1887,0.1194,11563
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,1.2,True,30,0.0069,0.0162,0.0161,18143
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,1.2,True,185,0.3275,0.1192,0.0802,12285
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,1.2,True,30,0.0065,0.008,0.008,18150
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,1.2,True,179,0.3542,0.1889,0.122,11799
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,1.2,True,23,0.0079,0.027,0.0268,18124
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,1.2,True,148,0.3275,0.1751,0.1177,12286
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,1.3,True,23,0.0068,0.0272,0.027,18145
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,1.3,True,152,0.38,0.1934,0.1199,11326
