key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.9,True,50,0.0102,0.0523,0.0518,18083
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.9,True,208,0.2669,0.1534,0.1125,13393
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,1.0,True,45,0.007,0.0531,0.0527,18141
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,1.0,True,209,0.2844,0.1553,0.1111,13074
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,1.0,True,31,0.006,0.0677,0.0673,18160
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,1.0,True,158,0.2435,0.1467,0.111,13821
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,1.0,True,30,0.005,0.0681,0.0678,18177
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,1.0,True,177,0.3146,0.1627,0.1115,12521
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,1.0,True,49,0.0228,0.0494,0.0483,17852
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,1.0,True,213,0.2835,0.1727,0.1237,13090
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,1.0,True,53,0.0292,0.0417,0.0405,17735
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,1.0,True,205,0.3209,0.1831,0.1244,12407
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,0.9,True,33,0.0174,0.038,0.0373,17952
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,0.9,True,192,0.3202,0.1829,0.1243,12420
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,1.0,True,36,0.0241,0.0288,0.0281,17829
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,1.0,True,178,0.3529,0.1952,0.1263,11822
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,1.2,True,46,0.0155,0.0373,0.0367,17986
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,1.2,True,226,0.308,0.1833,0.1269,12643
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,1.2,True,38,0.0209,0.0417,0.0409,17887
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,1.2,True,212,0.3301,0.1872,0.1254,12238
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,1.2,True,29,0.0134,0.0611,0.0603,18024
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,1.2,True,171,0.305,0.1781,0.1238,12697
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,1.2,True,31,0.0155,0.062,0.0611,17986
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,1.2,True,186,0.3585,0.1975,0.1267,11720
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,1.2,True,32,0.0097,0.0521,0.0516,18092
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,1.2,True,222,0.3058,0.1809,0.1256,12683
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,1.2,True,33,0.0147,0.0109,0.0108,18000
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,1.2,True,202,0.3273,0.1269,0.0854,12290
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,1.3,True,25,0.0097,0.069,0.0683,18092
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,1.3,True,189,0.325,0.1863,0.1257,12332
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,1.3,True,25,0.0113,0.0555,0.0549,18062
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,1.3,True,180,0.3652,0.199,0.1263,11598
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,1.3,True,31,0.0074,0.0515,0.0511,18133
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,1.3,True,207,0.2904,0.1747,0.124,12964
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,1.2,True,30,0.0097,0.0488,0.0483,18091
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,1.2,True,206,0.3214,0.186,0.1262,12397
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,1.3,True,24,0.0082,0.076,0.0754,18120
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,1.3,True,183,0.3285,0.1862,0.125,12267
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,1.3,True,23,0.0077,0.0591,0.0586,18129
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,1.3,True,185,0.3494,0.1946,0.1266,11885
