time,fan
Wed Oct 28 06:59:09 AM CET 2020 ,		3851
Wed Oct 28 06:59:09 AM CET 2020 ,		3851
Wed Oct 28 06:59:10 AM CET 2020 ,		3847
Wed Oct 28 06:59:10 AM CET 2020 ,		3847
Wed Oct 28 06:59:11 AM CET 2020 ,		3850
Wed Oct 28 06:59:11 AM CET 2020 ,		3850
Wed Oct 28 06:59:12 AM CET 2020 ,		3849
Wed Oct 28 06:59:12 AM CET 2020 ,		3849
Wed Oct 28 06:59:13 AM CET 2020 ,		3849
Wed Oct 28 06:59:13 AM CET 2020 ,		3849
Wed Oct 28 06:59:14 AM CET 2020 ,		3851
Wed Oct 28 06:59:14 AM CET 2020 ,		3851
Wed Oct 28 06:59:15 AM CET 2020 ,		3848
Wed Oct 28 06:59:15 AM CET 2020 ,		3848
Wed Oct 28 06:59:16 AM CET 2020 ,		3846
Wed Oct 28 06:59:16 AM CET 2020 ,		3846
Wed Oct 28 06:59:17 AM CET 2020 ,		3850
Wed Oct 28 06:59:17 AM CET 2020 ,		3850
Wed Oct 28 06:59:18 AM CET 2020 ,		3851
Wed Oct 28 06:59:18 AM CET 2020 ,		3851
Wed Oct 28 06:59:19 AM CET 2020 ,		3846
Wed Oct 28 06:59:19 AM CET 2020 ,		3846
Wed Oct 28 06:59:20 AM CET 2020 ,		3843
Wed Oct 28 06:59:20 AM CET 2020 ,		3843
Wed Oct 28 06:59:21 AM CET 2020 ,		3845
Wed Oct 28 06:59:21 AM CET 2020 ,		3845
Wed Oct 28 06:59:22 AM CET 2020 ,		3843
Wed Oct 28 06:59:22 AM CET 2020 ,		3843
Wed Oct 28 06:59:23 AM CET 2020 ,		3842
Wed Oct 28 06:59:23 AM CET 2020 ,		3842
Wed Oct 28 06:59:24 AM CET 2020 ,		3846
Wed Oct 28 06:59:24 AM CET 2020 ,		3846
Wed Oct 28 06:59:25 AM CET 2020 ,		3843
Wed Oct 28 06:59:25 AM CET 2020 ,		3843
Wed Oct 28 06:59:26 AM CET 2020 ,		3846
Wed Oct 28 06:59:26 AM CET 2020 ,		3846
Wed Oct 28 06:59:27 AM CET 2020 ,		3843
Wed Oct 28 06:59:27 AM CET 2020 ,		3843
Wed Oct 28 06:59:28 AM CET 2020 ,		3840
Wed Oct 28 06:59:28 AM CET 2020 ,		3840
Wed Oct 28 06:59:29 AM CET 2020 ,		3844
Wed Oct 28 06:59:29 AM CET 2020 ,		3844
Wed Oct 28 06:59:30 AM CET 2020 ,		3840
Wed Oct 28 06:59:30 AM CET 2020 ,		3840
Wed Oct 28 06:59:31 AM CET 2020 ,		3841
Wed Oct 28 06:59:31 AM CET 2020 ,		3841
Wed Oct 28 06:59:32 AM CET 2020 ,		3842
Wed Oct 28 06:59:32 AM CET 2020 ,		3842
Wed Oct 28 06:59:33 AM CET 2020 ,		3839
Wed Oct 28 06:59:34 AM CET 2020 ,		3839
Wed Oct 28 06:59:34 AM CET 2020 ,		3846
Wed Oct 28 06:59:35 AM CET 2020 ,		3846
Wed Oct 28 06:59:35 AM CET 2020 ,		3844
Wed Oct 28 06:59:36 AM CET 2020 ,		3844
Wed Oct 28 06:59:36 AM CET 2020 ,		3850
Wed Oct 28 06:59:37 AM CET 2020 ,		3850
Wed Oct 28 06:59:37 AM CET 2020 ,		3848
Wed Oct 28 06:59:38 AM CET 2020 ,		3848
Wed Oct 28 06:59:38 AM CET 2020 ,		3843
Wed Oct 28 06:59:39 AM CET 2020 ,		3843
Wed Oct 28 06:59:39 AM CET 2020 ,		3849
Wed Oct 28 06:59:40 AM CET 2020 ,		3849
Wed Oct 28 06:59:40 AM CET 2020 ,		3839
Wed Oct 28 06:59:41 AM CET 2020 ,		3839
Wed Oct 28 06:59:41 AM CET 2020 ,		3850
Wed Oct 28 06:59:42 AM CET 2020 ,		3850
Wed Oct 28 06:59:42 AM CET 2020 ,		3846
Wed Oct 28 06:59:43 AM CET 2020 ,		3846
Wed Oct 28 06:59:43 AM CET 2020 ,		3841
Wed Oct 28 06:59:44 AM CET 2020 ,		3841
Wed Oct 28 06:59:44 AM CET 2020 ,		3850
Wed Oct 28 06:59:45 AM CET 2020 ,		3850
Wed Oct 28 06:59:45 AM CET 2020 ,		3847
Wed Oct 28 06:59:46 AM CET 2020 ,		3847
Wed Oct 28 06:59:46 AM CET 2020 ,		3848
Wed Oct 28 06:59:47 AM CET 2020 ,		3848
Wed Oct 28 06:59:47 AM CET 2020 ,		3850
Wed Oct 28 06:59:48 AM CET 2020 ,		3850
Wed Oct 28 06:59:48 AM CET 2020 ,		3850
Wed Oct 28 06:59:49 AM CET 2020 ,		3850
Wed Oct 28 06:59:49 AM CET 2020 ,		3850
Wed Oct 28 06:59:50 AM CET 2020 ,		3850
Wed Oct 28 06:59:50 AM CET 2020 ,		3842
Wed Oct 28 06:59:51 AM CET 2020 ,		3842
Wed Oct 28 06:59:51 AM CET 2020 ,		3846
Wed Oct 28 06:59:52 AM CET 2020 ,		3846
Wed Oct 28 06:59:52 AM CET 2020 ,		3848
Wed Oct 28 06:59:53 AM CET 2020 ,		3848
Wed Oct 28 06:59:53 AM CET 2020 ,		3850
Wed Oct 28 06:59:54 AM CET 2020 ,		3850
Wed Oct 28 06:59:54 AM CET 2020 ,		3846
Wed Oct 28 06:59:55 AM CET 2020 ,		3846
Wed Oct 28 06:59:55 AM CET 2020 ,		3846
Wed Oct 28 06:59:56 AM CET 2020 ,		3846
Wed Oct 28 06:59:56 AM CET 2020 ,		3846
Wed Oct 28 06:59:57 AM CET 2020 ,		3846
Wed Oct 28 06:59:57 AM CET 2020 ,		3848
Wed Oct 28 06:59:58 AM CET 2020 ,		3848
Wed Oct 28 06:59:58 AM CET 2020 ,		3847
Wed Oct 28 06:59:59 AM CET 2020 ,		3847
Wed Oct 28 06:59:59 AM CET 2020 ,		3845
Wed Oct 28 07:00:00 AM CET 2020 ,		3845
Wed Oct 28 07:00:00 AM CET 2020 ,		3851
Wed Oct 28 07:00:01 AM CET 2020 ,		3851
Wed Oct 28 07:00:02 AM CET 2020 ,		3853
Wed Oct 28 07:00:02 AM CET 2020 ,		3853
Wed Oct 28 07:00:03 AM CET 2020 ,		3854
Wed Oct 28 07:00:03 AM CET 2020 ,		3854
Wed Oct 28 07:00:04 AM CET 2020 ,		3844
Wed Oct 28 07:00:04 AM CET 2020 ,		3844
Wed Oct 28 07:00:05 AM CET 2020 ,		3851
Wed Oct 28 07:00:05 AM CET 2020 ,		3851
Wed Oct 28 07:00:06 AM CET 2020 ,		3853
Wed Oct 28 07:00:06 AM CET 2020 ,		3853
Wed Oct 28 07:00:07 AM CET 2020 ,		3850
Wed Oct 28 07:00:07 AM CET 2020 ,		3850
Wed Oct 28 07:00:08 AM CET 2020 ,		3854
Wed Oct 28 07:00:08 AM CET 2020 ,		3854
Wed Oct 28 07:00:09 AM CET 2020 ,		3853
Wed Oct 28 07:00:09 AM CET 2020 ,		3853
Wed Oct 28 07:00:10 AM CET 2020 ,		3856
Wed Oct 28 07:00:10 AM CET 2020 ,		3856
Wed Oct 28 07:00:11 AM CET 2020 ,		3855
Wed Oct 28 07:00:11 AM CET 2020 ,		3855
Wed Oct 28 07:00:12 AM CET 2020 ,		3854
Wed Oct 28 07:00:12 AM CET 2020 ,		3854
Wed Oct 28 07:00:13 AM CET 2020 ,		3857
Wed Oct 28 07:00:13 AM CET 2020 ,		3857
Wed Oct 28 07:00:14 AM CET 2020 ,		3849
Wed Oct 28 07:00:14 AM CET 2020 ,		3849
Wed Oct 28 07:00:15 AM CET 2020 ,		3853
Wed Oct 28 07:00:15 AM CET 2020 ,		3853
Wed Oct 28 07:00:16 AM CET 2020 ,		3849
Wed Oct 28 07:00:16 AM CET 2020 ,		3849
Wed Oct 28 07:00:17 AM CET 2020 ,		3850
Wed Oct 28 07:00:17 AM CET 2020 ,		3850
Wed Oct 28 07:00:18 AM CET 2020 ,		3850
Wed Oct 28 07:00:18 AM CET 2020 ,		3850
Wed Oct 28 07:00:19 AM CET 2020 ,		3849
Wed Oct 28 07:00:19 AM CET 2020 ,		3849
Wed Oct 28 07:00:20 AM CET 2020 ,		3850
Wed Oct 28 07:00:20 AM CET 2020 ,		3850
Wed Oct 28 07:00:21 AM CET 2020 ,		3850
Wed Oct 28 07:00:21 AM CET 2020 ,		3850
Wed Oct 28 07:00:22 AM CET 2020 ,		3853
Wed Oct 28 07:00:22 AM CET 2020 ,		3853
Wed Oct 28 07:00:23 AM CET 2020 ,		3857
Wed Oct 28 07:00:23 AM CET 2020 ,		3857
Wed Oct 28 07:00:24 AM CET 2020 ,		3854
Wed Oct 28 07:00:24 AM CET 2020 ,		3854
Wed Oct 28 07:00:25 AM CET 2020 ,		3854
Wed Oct 28 07:00:25 AM CET 2020 ,		3854
Wed Oct 28 07:00:26 AM CET 2020 ,		3850
Wed Oct 28 07:00:26 AM CET 2020 ,		3850
Wed Oct 28 07:00:27 AM CET 2020 ,		3853
Wed Oct 28 07:00:28 AM CET 2020 ,		3853
Wed Oct 28 07:00:28 AM CET 2020 ,		3855
Wed Oct 28 07:00:29 AM CET 2020 ,		3855
Wed Oct 28 07:00:29 AM CET 2020 ,		3854
Wed Oct 28 07:00:30 AM CET 2020 ,		3854
Wed Oct 28 07:00:30 AM CET 2020 ,		3858
Wed Oct 28 07:00:31 AM CET 2020 ,		3858
Wed Oct 28 07:00:31 AM CET 2020 ,		3854
Wed Oct 28 07:00:32 AM CET 2020 ,		3854
Wed Oct 28 07:00:32 AM CET 2020 ,		3852
Wed Oct 28 07:00:33 AM CET 2020 ,		3852
Wed Oct 28 07:00:33 AM CET 2020 ,		3852
Wed Oct 28 07:00:34 AM CET 2020 ,		3852
Wed Oct 28 07:00:34 AM CET 2020 ,		3852
Wed Oct 28 07:00:35 AM CET 2020 ,		3852
Wed Oct 28 07:00:35 AM CET 2020 ,		3846
Wed Oct 28 07:00:36 AM CET 2020 ,		3846
Wed Oct 28 07:00:36 AM CET 2020 ,		3848
Wed Oct 28 07:00:37 AM CET 2020 ,		3848
Wed Oct 28 07:00:37 AM CET 2020 ,		3847
Wed Oct 28 07:00:38 AM CET 2020 ,		3847
Wed Oct 28 07:00:38 AM CET 2020 ,		3848
Wed Oct 28 07:00:39 AM CET 2020 ,		3848
Wed Oct 28 07:00:39 AM CET 2020 ,		3849
