,text,location,href,twiv_nr,covid_update_nr
40,TWiV 921: COVID-19 clinical update #124 with Dr. Daniel Griffin,"{'x': 141, 'y': 2443}",https://www.youtube.com/watch?v=PwtRPz8aDNE,921,124
45,TWiV 918: COVID-19 clinical update #123 with Dr. Daniel Griffin,"{'x': 141, 'y': 2677}",https://www.youtube.com/watch?v=k3QMGtM5y-U,918,123
49,TWiV 916: COVID-19 clinical update #122 with Dr. Daniel Griffin,"{'x': 997, 'y': 2677}",https://www.youtube.com/watch?v=kaJN0aTZTog,916,122
52,TWiV 914: COVID-19 clinical update #121 with Dr. Daniel Griffin,"{'x': 569, 'y': 2911}",https://www.youtube.com/watch?v=786kiTxg6Bk,914,121
60,TWiV 912: COVID-19 clinical update #120 with Dr. Daniel Griffin,"{'x': 141, 'y': 3379}",https://www.youtube.com/watch?v=xQQSDruiZRg,912,120
63,TWiV 910: COVID-19 clinical update #119 with Dr. Daniel Griffin,"{'x': 783, 'y': 3379}",https://www.youtube.com/watch?v=rjCQ53BCFjo,910,119
69,TWiV 908: COVID-19 clinical update #118 with Dr. Daniel Griffin,"{'x': 997, 'y': 3613}",https://www.youtube.com/watch?v=IeFotJVwpuY,908,118
73,TWiV 905: COVID-19 clinical update #117 with Dr. Daniel Griffin,"{'x': 783, 'y': 3847}",https://www.youtube.com/watch?v=1hfC7UH1tco,905,117
79,TWiV 903: COVID-19 clinical update #116 with Dr. Daniel Griffin,"{'x': 997, 'y': 4081}",https://www.youtube.com/watch?v=0PNCFt7DH68,903,116
87,TWiV 901: COVID-19 clinical update #115 with Dr. Daniel Griffin,"{'x': 569, 'y': 4531}",https://www.youtube.com/watch?v=uG9Al7vnv0Q,901,115
91,TWiV 899: COVID-19 clinical update #114 with Dr. Daniel Griffin,"{'x': 355, 'y': 4765}",https://www.youtube.com/watch?v=Acosxniy78E,899,114
93,TWiV 897: COVID-19 clinical update #113 with Dr. Daniel Griffin,"{'x': 783, 'y': 4765}",https://www.youtube.com/watch?v=4ufBCj6ir8M,897,113
101,TWiV 895: COVID-19 clinical update #112 with Dr. Daniel Griffin,"{'x': 355, 'y': 5215}",https://www.youtube.com/watch?v=K1QQGa3eMhQ,895,112
105,TWiV 892: COVID-19 clinical update #111 with Dr. Daniel Griffin,"{'x': 141, 'y': 5449}",https://www.youtube.com/watch?v=TVtaNXyWcaE,892,111
111,TWiV 889: COVID-19 clinical update #110 with Dr. Daniel Griffin,"{'x': 355, 'y': 5683}",https://www.youtube.com/watch?v=KLNoY6f6SE0,889,110
115,TWiV 886: COVID-19 clinical update #109 with Dr. Daniel Griffin,"{'x': 141, 'y': 5917}",https://www.youtube.com/watch?v=IkDBSPwJGpE,886,109
122,TWiV 883: COVID-19 clinical update #108 with Dr. Daniel Griffin,"{'x': 569, 'y': 6151}",https://www.youtube.com/watch?v=rP26pmETU0s,883,108
127,TWiV 880: COVID-19 clinical update #107 with Dr. Daniel Griffin,"{'x': 569, 'y': 6385}",https://www.youtube.com/watch?v=us11HjrzXVs,880,107
132,TWiV 877: COVID-19 clinical update #106 with Dr. Daniel Griffin,"{'x': 569, 'y': 6619}",https://www.youtube.com/watch?v=Y7ZWmtrXuaA,877,106
137,TWiV 874: COVID-19 clinical update #105 with Dr. Daniel Griffin,"{'x': 569, 'y': 6853}",https://www.youtube.com/watch?v=73HIb86EQ5s,874,105
140,TWiV 872: COVID-19 clinical update #104 with Dr. Daniel Griffin,"{'x': 141, 'y': 7087}",https://www.youtube.com/watch?v=N-UevqrpqDA,872,104
145,TWiV 870: COVID-19 clinical update #103 with Dr. Daniel Griffin,"{'x': 141, 'y': 7321}",https://www.youtube.com/watch?v=BQSXRzBSoks,870,103
152,TWiV 868: COVID-19 clinical update #102 with Dr. Daniel Griffin,"{'x': 569, 'y': 7555}",https://www.youtube.com/watch?v=Asoue_J2BHI,868,102
